mode,entry,safety_mult,rotation_factor,rotation_margin_pp,period,annual,max_dd,calmar,sharpe,trades,rotation_trades,tim_pct,median_wait_h
baseline_30_120,0.3,0.0,0.0,0.0,full,9.93,0.1,100.9,34.95,60,0,70.9,237
baseline_30_120,0.3,0.0,0.0,0.0,last_90d,0.0,0.0,0.0,0.0,0,0,0.0,2160
dynamic_balanced,0.15,3.0,0.0,0.0,full,10.34,0.13,77.1,36.09,83,0,83.4,280
dynamic_balanced,0.15,3.0,0.0,0.0,last_90d,-0.07,0.05,-1.3,-0.56,3,0,13.4,1870
dynamic_aggressive,0.08,5.0,0.0,0.0,full,11.19,0.76,14.8,35.89,84,0,100.0,0
dynamic_aggressive,0.08,5.0,0.0,0.0,last_90d,2.79,0.05,51.2,14.33,6,0,100.0,0
no_rotation,0.1,3.0,1.0,0.1,full,11.17,0.61,18.4,34.86,99,0,100.0,0
no_rotation,0.1,3.0,1.0,0.1,last_90d,2.6,0.06,44.9,11.99,9,0,100.0,0
rot_f1.5_m0.10,0.1,3.0,1.5,0.1,full,8.1,0.72,11.3,21.8,258,197,100.0,0
rot_f1.5_m0.10,0.1,3.0,1.5,0.1,last_90d,2.68,0.06,45.9,12.42,8,197,100.0,0
rot_f1.5_m0.15,0.1,3.0,1.5,0.15,full,8.19,0.71,11.5,21.62,257,190,100.0,0
rot_f1.5_m0.15,0.1,3.0,1.5,0.15,last_90d,2.45,0.07,33.4,10.67,10,190,100.0,0
rot_f1.5_m0.20,0.1,3.0,1.5,0.2,full,8.45,0.65,13.0,22.46,252,169,100.0,0
rot_f1.5_m0.20,0.1,3.0,1.5,0.2,last_90d,2.84,0.06,47.8,14.61,8,169,100.0,0
rot_f2.0_m0.10,0.1,3.0,2.0,0.1,full,8.28,0.83,9.9,22.66,237,170,100.0,0
rot_f2.0_m0.10,0.1,3.0,2.0,0.1,last_90d,2.68,0.06,45.9,12.42,8,170,100.0,0
rot_f2.0_m0.15,0.1,3.0,2.0,0.15,full,8.47,0.71,11.9,23.16,235,163,100.0,0
rot_f2.0_m0.15,0.1,3.0,2.0,0.15,last_90d,2.45,0.07,33.4,10.67,10,163,100.0,0
rot_f2.0_m0.20,0.1,3.0,2.0,0.2,full,8.86,0.65,13.7,24.35,225,137,100.0,0
rot_f2.0_m0.20,0.1,3.0,2.0,0.2,last_90d,2.84,0.06,47.8,14.61,8,137,100.0,0
rot_f3.0_m0.10,0.1,3.0,3.0,0.1,full,9.69,0.49,19.6,26.97,194,129,100.0,0
rot_f3.0_m0.10,0.1,3.0,3.0,0.1,last_90d,2.29,0.08,27.2,10.26,8,129,100.0,0
rot_f3.0_m0.15,0.1,3.0,3.0,0.15,full,9.62,0.55,17.4,27.14,192,114,100.0,0
rot_f3.0_m0.15,0.1,3.0,3.0,0.15,last_90d,2.19,0.06,36.9,9.37,10,114,100.0,0
rot_f3.0_m0.20,0.1,3.0,3.0,0.2,full,9.55,0.55,17.3,27.11,191,105,100.0,0
rot_f3.0_m0.20,0.1,3.0,3.0,0.2,last_90d,2.6,0.06,44.9,11.98,9,105,100.0,0
no_rotation,0.1,5.0,1.0,0.1,full,11.24,0.9,12.4,35.61,85,0,100.0,0
no_rotation,0.1,5.0,1.0,0.1,last_90d,2.63,0.06,42.0,14.07,6,0,100.0,0
rot_f1.5_m0.10,0.1,5.0,1.5,0.1,full,8.9,0.5,17.8,26.25,188,147,100.0,0
rot_f1.5_m0.10,0.1,5.0,1.5,0.1,last_90d,2.44,0.07,35.9,11.4,8,147,100.0,0
rot_f1.5_m0.15,0.1,5.0,1.5,0.15,full,8.98,0.5,17.9,26.62,190,136,100.0,0
rot_f1.5_m0.15,0.1,5.0,1.5,0.15,last_90d,2.64,0.06,46.0,13.27,7,136,100.0,0
rot_f1.5_m0.20,0.1,5.0,1.5,0.2,full,8.68,0.5,17.3,25.96,185,119,100.0,0
rot_f1.5_m0.20,0.1,5.0,1.5,0.2,last_90d,2.11,0.06,38.3,10.45,7,119,100.0,0
rot_f2.0_m0.10,0.1,5.0,2.0,0.1,full,9.52,0.42,22.8,28.26,170,131,100.0,0
rot_f2.0_m0.10,0.1,5.0,2.0,0.1,last_90d,2.41,0.07,34.6,11.29,8,131,100.0,0
rot_f2.0_m0.15,0.1,5.0,2.0,0.15,full,9.26,0.5,18.5,27.48,175,122,100.0,0
rot_f2.0_m0.15,0.1,5.0,2.0,0.15,last_90d,2.52,0.07,34.0,12.26,7,122,100.0,0
rot_f2.0_m0.20,0.1,5.0,2.0,0.2,full,9.49,0.5,19.0,28.29,165,105,100.0,0
rot_f2.0_m0.20,0.1,5.0,2.0,0.2,last_90d,2.82,0.06,47.8,14.58,6,105,100.0,0
rot_f3.0_m0.10,0.1,5.0,3.0,0.1,full,9.77,0.91,10.8,30.7,150,95,100.0,0
rot_f3.0_m0.10,0.1,5.0,3.0,0.1,last_90d,2.85,0.07,40.2,15.6,6,95,100.0,0
rot_f3.0_m0.15,0.1,5.0,3.0,0.15,full,9.69,0.9,10.7,30.38,149,86,100.0,0
rot_f3.0_m0.15,0.1,5.0,3.0,0.15,last_90d,2.65,0.06,42.3,13.61,6,86,100.0,0
rot_f3.0_m0.20,0.1,5.0,3.0,0.2,full,9.45,0.9,10.5,29.11,154,88,100.0,0
rot_f3.0_m0.20,0.1,5.0,3.0,0.2,last_90d,2.82,0.06,47.8,14.58,6,88,100.0,0
