signal_window,phase1_negative_patience,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,avg_min_hold,tim_pct,phase1_exits,phase2_exits
4,24,full,9.99,0.58,17.2,38.61,74,1058.9,693.0,100.0,15,56
4,24,last_90d,3.38,0.09,35.6,13.6,7,1058.9,693.0,100.0,15,56
4,48,full,9.99,0.59,16.8,38.55,74,1060.1,693.0,100.0,15,56
4,48,last_90d,3.36,0.09,35.4,13.54,7,1060.1,693.0,100.0,15,56
4,72,full,9.98,0.6,16.5,38.54,74,1060.7,693.0,100.0,15,56
4,72,last_90d,3.36,0.09,35.4,13.54,7,1060.7,693.0,100.0,15,56
4,120,full,9.98,0.62,16.0,38.51,74,1062.0,693.0,100.0,15,56
4,120,last_90d,3.36,0.09,35.4,13.54,7,1062.0,693.0,100.0,15,56
4,240,full,9.96,0.69,14.5,38.4,74,1063.2,693.0,100.0,15,56
4,240,last_90d,3.36,0.09,35.4,13.54,7,1063.2,693.0,100.0,15,56
6,24,full,10.81,0.55,19.8,38.19,64,1212.8,685.7,100.0,10,51
6,24,last_90d,5.83,0.11,52.7,19.6,5,1212.8,685.7,100.0,10,51
6,48,full,10.8,0.57,18.8,38.08,64,1213.5,685.7,100.0,10,51
6,48,last_90d,5.83,0.11,52.7,19.6,5,1213.5,685.7,100.0,10,51
6,72,full,10.8,0.6,18.1,38.05,64,1213.9,685.7,100.0,10,51
6,72,last_90d,5.83,0.11,52.7,19.6,5,1213.9,685.7,100.0,10,51
6,120,full,10.79,0.6,18.0,38.04,64,1214.1,685.7,100.0,10,51
6,120,last_90d,5.83,0.11,52.7,19.6,5,1214.1,685.7,100.0,10,51
6,240,full,10.79,0.6,18.0,38.04,64,1214.1,685.7,100.0,10,51
6,240,last_90d,5.83,0.11,52.7,19.6,5,1214.1,685.7,100.0,10,51
8,24,full,10.44,0.48,21.6,39.61,61,1258.2,689.8,100.0,14,44
8,24,last_90d,6.69,0.09,73.5,19.02,4,1258.2,689.8,100.0,14,44
8,48,full,10.43,0.51,20.3,39.55,61,1259.3,689.8,100.0,14,44
8,48,last_90d,6.69,0.09,73.5,19.02,4,1259.3,689.8,100.0,14,44
8,72,full,10.42,0.54,19.3,39.51,61,1260.2,689.8,100.0,14,44
8,72,last_90d,6.69,0.09,73.5,19.02,4,1260.2,689.8,100.0,14,44
8,120,full,10.42,0.55,18.8,39.49,61,1261.5,689.8,100.0,14,44
8,120,last_90d,6.69,0.09,73.5,19.02,4,1261.5,689.8,100.0,14,44
8,240,full,10.42,0.55,18.8,39.49,61,1261.6,689.8,100.0,14,44
8,240,last_90d,6.69,0.09,73.5,19.02,4,1261.6,689.8,100.0,14,44
12,24,full,10.38,0.48,21.7,41.29,52,1476.1,687.7,100.0,12,37
12,24,last_90d,5.02,0.06,78.4,17.87,4,1476.1,687.7,100.0,12,37
12,48,full,10.37,0.51,20.3,41.22,52,1477.6,687.7,100.0,12,37
12,48,last_90d,5.02,0.06,78.4,17.87,4,1477.6,687.7,100.0,12,37
12,72,full,10.36,0.53,19.5,41.19,52,1479.1,687.7,100.0,12,37
12,72,last_90d,5.02,0.06,78.4,17.87,4,1479.1,687.7,100.0,12,37
12,120,full,10.35,0.54,19.1,41.15,52,1482.4,687.7,100.0,12,37
12,120,last_90d,5.02,0.06,78.4,17.87,4,1482.4,687.7,100.0,12,37
12,240,full,10.35,0.54,19.1,41.15,52,1482.6,687.7,100.0,12,37
12,240,last_90d,5.02,0.06,78.4,17.87,4,1482.6,687.7,100.0,12,37
24,24,full,11.16,0.34,33.0,46.2,38,2008.1,654.7,100.0,8,27
24,24,last_90d,5.62,0.07,81.2,19.49,4,2008.1,654.7,100.0,8,27
24,48,full,11.15,0.37,30.5,46.15,38,2010.2,654.7,100.0,8,27
24,48,last_90d,5.62,0.07,81.2,19.49,4,2010.2,654.7,100.0,8,27
24,72,full,11.14,0.37,29.8,46.14,38,2011.3,654.7,100.0,8,27
24,72,last_90d,5.62,0.07,81.2,19.49,4,2011.3,654.7,100.0,8,27
24,120,full,11.14,0.38,29.2,46.12,38,2012.6,654.7,100.0,8,27
24,120,last_90d,5.62,0.07,81.2,19.49,4,2012.6,654.7,100.0,8,27
24,240,full,11.14,0.38,29.2,46.12,38,2012.8,654.7,100.0,8,27
24,240,last_90d,5.62,0.07,81.2,19.49,4,2012.8,654.7,100.0,8,27
