mode,thresholds,safety_mult,period,annual,max_dd,calmar,sharpe,trades,time_in_market_pct,median_wait_hours
dynamic_only_balanced,"[0.15, 0.15, 0.15]",3.0,full,10.34,0.13,77.1,36.09,83,83.4,280
dynamic_only_balanced,"[0.15, 0.15, 0.15]",3.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870
dynamic_only_aggressive,"[0.08, 0.08, 0.08]",5.0,full,11.19,0.76,14.8,35.89,84,100.0,0
dynamic_only_aggressive,"[0.08, 0.08, 0.08]",5.0,last_90d,2.79,0.05,51.2,14.33,6,100.0,0
baseline_30_120,"[0.30, 0.30, 0.30]",0.0,full,9.93,0.1,100.9,34.95,60,70.9,237
baseline_30_120,"[0.30, 0.30, 0.30]",0.0,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160
baseline_15_120,"[0.15, 0.15, 0.15]",0.0,full,9.79,0.12,83.5,33.72,69,79.6,178
baseline_15_120,"[0.15, 0.15, 0.15]",0.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870
staged,"[auto_30d, 0.15, 0.30]",3.0,full,9.97,0.38,26.6,34.62,89,100.0,3
staged,"[auto_30d, 0.15, 0.30]",3.0,last_90d,0.81,0.04,22.0,5.98,4,100.0,1
staged,"[auto_30d, 0.15, 0.30]",5.0,full,9.82,0.45,21.7,35.37,76,100.0,5
staged,"[auto_30d, 0.15, 0.30]",5.0,last_90d,0.67,0.07,10.2,5.25,3,100.0,0
staged,"[0.08, 0.15, 0.30]",3.0,full,9.91,0.47,21.1,34.8,87,100.0,6
staged,"[0.08, 0.15, 0.30]",3.0,last_90d,0.79,0.04,20.8,5.4,4,100.0,0
staged,"[0.08, 0.15, 0.30]",5.0,full,9.87,0.33,30.3,35.55,77,99.9,12
staged,"[0.08, 0.15, 0.30]",5.0,last_90d,0.67,0.07,10.2,5.25,3,100.0,0
staged,"[0.10, 0.20, 0.30]",3.0,full,10.73,0.34,32.0,35.36,88,99.7,16
staged,"[0.10, 0.20, 0.30]",3.0,last_90d,1.15,0.04,31.5,7.82,4,100.0,0
staged,"[0.10, 0.20, 0.30]",5.0,full,10.1,0.2,50.4,36.49,73,99.7,17
staged,"[0.10, 0.20, 0.30]",5.0,last_90d,1.15,0.04,30.9,9.66,3,99.4,12
staged,"[0.05, 0.15, 0.30]",3.0,full,9.99,0.34,29.4,34.57,89,100.0,0
staged,"[0.05, 0.15, 0.30]",3.0,last_90d,0.79,0.04,20.8,5.4,4,100.0,0
staged,"[0.05, 0.15, 0.30]",5.0,full,10.31,0.21,49.6,36.44,75,100.0,0
staged,"[0.05, 0.15, 0.30]",5.0,last_90d,0.67,0.07,10.2,5.25,3,100.0,0
staged,"[auto_30d, auto_30d, 0.30]",3.0,full,10.99,0.57,19.2,35.52,91,100.0,0
staged,"[auto_30d, auto_30d, 0.30]",3.0,last_90d,1.65,0.05,33.6,9.67,5,100.0,0
staged,"[auto_30d, auto_30d, 0.30]",5.0,full,11.0,0.3,36.7,37.42,79,100.0,0
staged,"[auto_30d, auto_30d, 0.30]",5.0,last_90d,2.17,0.06,39.3,14.77,4,100.0,0
