config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,coin,n_opens,n_closes,funding_gross,fees_paid,realized_pnl,hours_in_position,net_pnl_per_hour
A_research,U3-new,3.0,100.0,3,0.3,-0.15,120,BTC,3,2,7.2369729669194625,0.5598744922910229,-33.21380218192667,2131,-0.012452700003424789
A_research,U3-new,3.0,100.0,3,0.3,-0.15,120,ETH,5,2,11.442524200640085,0.7182057581044629,15.99451609098774,3218,0.008302931800349087
A_research,U3-new,3.0,100.0,3,0.3,-0.15,120,SOL,6,3,13.988874496592674,0.9523454515684335,-6.995668160413119,2195,0.0027521006308023335
A_research,U3-new,3.0,100.0,4,0.3,-0.15,120,BTC,3,2,7.2369729669194625,0.5598744922910229,-33.21380218192667,2131,-0.012452700003424789
A_research,U3-new,3.0,100.0,4,0.3,-0.15,120,ETH,5,2,11.442524200640085,0.7182057581044629,15.99451609098774,3218,0.008302931800349087
A_research,U3-new,3.0,100.0,4,0.3,-0.15,120,SOL,6,3,13.988874496592674,0.9523454515684335,-6.995668160413119,2195,0.0027521006308023335
A_research,U3-new,3.0,100.0,5,0.3,-0.15,120,BTC,3,2,7.2369729669194625,0.5598744922910229,-33.21380218192667,2131,-0.012452700003424789
A_research,U3-new,3.0,100.0,5,0.3,-0.15,120,ETH,5,2,11.442524200640085,0.7182057581044629,15.99451609098774,3218,0.008302931800349087
A_research,U3-new,3.0,100.0,5,0.3,-0.15,120,SOL,6,3,13.988874496592674,0.9523454515684335,-6.995668160413119,2195,0.0027521006308023335
A_research,U3-new,3.0,150.0,3,0.3,-0.15,120,BTC,8,6,60.10039813755791,2.2851375716868527,-76.32149684462189,15287,-0.0012105865296494298
A_research,U3-new,3.0,150.0,3,0.3,-0.15,120,ETH,7,5,33.83940362979553,1.8101315525833213,76.06518801588427,6073,0.017799186578807257
A_research,U3-new,3.0,150.0,3,0.3,-0.15,120,SOL,7,6,52.388589084186776,2.15354650483555,-100.99667127195292,5170,-0.009818496845764352
A_research,U3-new,3.0,150.0,4,0.3,-0.15,120,BTC,8,6,60.10039813755791,2.2851375716868527,-76.32149684462189,15287,-0.0012105865296494298
A_research,U3-new,3.0,150.0,4,0.3,-0.15,120,ETH,7,5,33.83940362979553,1.8101315525833213,76.06518801588427,6073,0.017799186578807257
A_research,U3-new,3.0,150.0,4,0.3,-0.15,120,SOL,7,6,52.388589084186776,2.15354650483555,-100.99667127195292,5170,-0.009818496845764352
A_research,U3-new,3.0,150.0,5,0.3,-0.15,120,BTC,8,6,60.10039813755791,2.2851375716868527,-76.32149684462189,15287,-0.0012105865296494298
A_research,U3-new,3.0,150.0,5,0.3,-0.15,120,ETH,7,5,33.83940362979553,1.8101315525833213,76.06518801588427,6073,0.017799186578807257
A_research,U3-new,3.0,150.0,5,0.3,-0.15,120,SOL,7,6,52.388589084186776,2.15354650483555,-100.99667127195292,5170,-0.009818496845764352
A_research,U3-new,5.0,100.0,3,0.3,-0.15,120,BTC,4,2,8.463604466508727,0.6648744922910229,-33.21380218192667,2453,-0.010360812151532395
A_research,U3-new,5.0,100.0,3,0.3,-0.15,120,ETH,4,2,12.006581497466788,0.6132057581044629,15.99451609098774,3219,0.008508198766806481
A_research,U3-new,5.0,100.0,3,0.3,-0.15,120,SOL,6,4,22.4305451589575,1.0455642900953457,4.224485623480045,3002,0.00853080162969427
A_research,U3-new,5.0,100.0,4,0.3,-0.15,120,BTC,4,2,8.463604466508727,0.6648744922910229,-33.21380218192667,2453,-0.010360812151532395
A_research,U3-new,5.0,100.0,4,0.3,-0.15,120,ETH,4,2,12.006581497466788,0.6132057581044629,15.99451609098774,3219,0.008508198766806481
A_research,U3-new,5.0,100.0,4,0.3,-0.15,120,SOL,6,4,22.4305451589575,1.0455642900953457,4.224485623480045,3002,0.00853080162969427
A_research,U3-new,5.0,100.0,5,0.3,-0.15,120,BTC,4,2,8.463604466508727,0.6648744922910229,-33.21380218192667,2453,-0.010360812151532395
A_research,U3-new,5.0,100.0,5,0.3,-0.15,120,ETH,4,2,12.006581497466788,0.6132057581044629,15.99451609098774,3219,0.008508198766806481
A_research,U3-new,5.0,100.0,5,0.3,-0.15,120,SOL,6,4,22.4305451589575,1.0455642900953457,4.224485623480045,3002,0.00853080162969427
A_research,U3-new,5.0,150.0,3,0.3,-0.15,120,BTC,8,6,59.73197785473463,2.2851375716868527,-76.32149684462189,15257,-0.0012371145416250975
A_research,U3-new,5.0,150.0,3,0.3,-0.15,120,ETH,5,4,24.671058750907246,1.389691576456431,26.484212898637182,4675,0.010645043865901175
A_research,U3-new,5.0,150.0,3,0.3,-0.15,120,SOL,6,5,51.85431307194919,1.8376060585753367,-100.1010081669875,5044,-0.009929480799685496
A_research,U3-new,5.0,150.0,4,0.3,-0.15,120,BTC,8,6,59.73197785473463,2.2851375716868527,-76.32149684462189,15257,-0.0012371145416250975
A_research,U3-new,5.0,150.0,4,0.3,-0.15,120,ETH,5,4,24.671058750907246,1.389691576456431,26.484212898637182,4675,0.010645043865901175
