label,entry_threshold,safety_mult,cap_min_hold,phase1_negative_patience,phase1_breakeven_cap_h,phase2_exit_threshold,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,avg_min_hold_assigned,tim_pct,phase1_exits,phase2_exits
baseline_COMBO,0.3,n/a,n/a,n/a,n/a,n/a,full,9.93,0.1,100.9,34.95,60,120.0,n/a,70.9,n/a,n/a
baseline_COMBO,0.3,n/a,n/a,n/a,n/a,n/a,last_90d,0.0,0.0,0.0,0.0,0,120.0,n/a,0.0,n/a,n/a
baseline_DynAgg,0.08,n/a,n/a,n/a,n/a,n/a,full,11.19,0.76,14.8,35.89,84,536.4,n/a,100.0,n/a,n/a
baseline_DynAgg,0.08,n/a,n/a,n/a,n/a,n/a,last_90d,2.79,0.05,51.2,14.33,6,536.4,n/a,100.0,n/a,n/a
baseline_TwoPhase,0.15,n/a,n/a,n/a,n/a,n/a,full,13.03,0.11,114.4,41.3,72,795.5,n/a,81.2,27,42
baseline_TwoPhase,0.15,n/a,n/a,n/a,n/a,n/a,last_90d,-0.07,0.05,-1.3,-0.56,3,795.5,n/a,13.4,27,42
two_phase_dynamic,0.08,3.0,720,24,480,-0.1,full,13.04,1.0,13.1,43.0,57,1328.6,426.6,100.0,11,43
two_phase_dynamic,0.08,3.0,720,24,480,-0.1,last_90d,3.1,0.06,55.8,17.84,5,1328.6,426.6,100.0,11,43
two_phase_dynamic,0.08,3.0,720,24,720,-0.1,full,13.04,1.0,13.1,43.0,57,1328.6,426.6,100.0,11,43
two_phase_dynamic,0.08,3.0,720,24,720,-0.1,last_90d,3.1,0.06,55.8,17.83,5,1328.6,426.6,100.0,11,43
two_phase_dynamic,0.08,3.0,720,72,480,-0.1,full,12.9,1.0,12.9,42.61,58,1306.2,412.7,100.0,11,44
two_phase_dynamic,0.08,3.0,720,72,480,-0.1,last_90d,3.1,0.06,55.8,17.84,5,1306.2,412.7,100.0,11,44
two_phase_dynamic,0.08,3.0,720,72,720,-0.1,full,12.9,1.0,12.9,42.61,58,1306.2,412.7,100.0,11,44
two_phase_dynamic,0.08,3.0,720,72,720,-0.1,last_90d,3.1,0.06,55.8,17.83,5,1306.2,412.7,100.0,11,44
two_phase_dynamic,0.08,5.0,720,24,480,-0.1,full,13.85,0.68,20.3,42.7,50,1516.3,544.8,100.0,10,37
two_phase_dynamic,0.08,5.0,720,24,480,-0.1,last_90d,2.92,0.05,55.1,19.51,3,1516.3,544.8,100.0,10,37
two_phase_dynamic,0.08,5.0,720,24,720,-0.1,full,13.76,0.8,17.1,43.19,50,1501.9,538.7,100.0,10,37
two_phase_dynamic,0.08,5.0,720,24,720,-0.1,last_90d,3.36,0.05,64.6,25.22,2,1501.9,538.7,100.0,10,37
two_phase_dynamic,0.08,5.0,720,72,480,-0.1,full,13.67,1.04,13.1,42.21,51,1482.6,537.5,100.0,11,37
two_phase_dynamic,0.08,5.0,720,72,480,-0.1,last_90d,2.92,0.05,55.2,18.53,3,1482.6,537.5,100.0,11,37
two_phase_dynamic,0.08,5.0,720,72,720,-0.1,full,13.7,1.04,13.1,42.46,50,1499.5,533.9,100.0,10,37
two_phase_dynamic,0.08,5.0,720,72,720,-0.1,last_90d,3.36,0.05,64.6,25.22,2,1499.5,533.9,100.0,10,37
two_phase_dynamic,0.1,3.0,720,24,480,-0.1,full,14.09,0.82,17.1,42.41,57,1298.9,396.2,100.0,9,45
two_phase_dynamic,0.1,3.0,720,24,480,-0.1,last_90d,3.4,0.05,64.8,23.86,3,1298.9,396.2,100.0,9,45
two_phase_dynamic,0.1,3.0,720,24,720,-0.1,full,14.09,0.82,17.1,42.41,57,1298.4,396.1,100.0,9,45
two_phase_dynamic,0.1,3.0,720,24,720,-0.1,last_90d,3.4,0.05,64.8,23.86,3,1298.4,396.1,100.0,9,45
two_phase_dynamic,0.1,3.0,720,72,480,-0.1,full,14.03,0.85,16.6,42.28,57,1300.4,389.4,100.0,9,45
two_phase_dynamic,0.1,3.0,720,72,480,-0.1,last_90d,3.4,0.05,64.8,23.86,3,1300.4,389.4,100.0,9,45
two_phase_dynamic,0.1,3.0,720,72,720,-0.1,full,14.03,0.85,16.6,42.28,57,1299.9,389.3,100.0,9,45
two_phase_dynamic,0.1,3.0,720,72,720,-0.1,last_90d,3.4,0.05,64.8,23.86,3,1299.9,389.3,100.0,9,45
two_phase_dynamic,0.1,5.0,720,24,480,-0.1,full,15.11,0.68,22.2,43.1,51,1481.0,525.3,100.0,9,39
two_phase_dynamic,0.1,5.0,720,24,480,-0.1,last_90d,2.95,0.05,55.9,20.57,3,1481.0,525.3,100.0,9,39
two_phase_dynamic,0.1,5.0,720,24,720,-0.1,full,13.81,0.79,17.5,43.92,50,1496.5,526.1,100.0,9,38
two_phase_dynamic,0.1,5.0,720,24,720,-0.1,last_90d,3.44,0.05,65.9,25.83,2,1496.5,526.1,100.0,9,38
two_phase_dynamic,0.1,5.0,720,72,480,-0.1,full,15.3,0.67,23.0,42.15,51,1473.5,524.5,100.0,8,40
two_phase_dynamic,0.1,5.0,720,72,480,-0.1,last_90d,2.95,0.05,56.0,20.61,3,1473.5,524.5,100.0,8,40
two_phase_dynamic,0.1,5.0,720,72,720,-0.1,full,15.34,0.67,23.1,42.32,50,1490.3,520.5,100.0,7,40
two_phase_dynamic,0.1,5.0,720,72,720,-0.1,last_90d,3.44,0.05,65.9,25.83,2,1490.3,520.5,100.0,7,40
two_phase_dynamic,0.15,3.0,720,24,480,-0.1,full,13.38,0.13,105.4,43.59,48,1287.2,272.5,85.9,4,41
two_phase_dynamic,0.15,3.0,720,24,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1287.2,272.5,13.4,4,41
two_phase_dynamic,0.15,3.0,720,24,720,-0.1,full,13.38,0.13,105.4,43.59,48,1287.6,272.5,85.9,4,41
two_phase_dynamic,0.15,3.0,720,24,720,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1287.6,272.5,13.4,4,41
two_phase_dynamic,0.15,3.0,720,72,480,-0.1,full,13.38,0.13,105.4,43.59,48,1288.2,272.5,85.9,4,41
two_phase_dynamic,0.15,3.0,720,72,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1288.2,272.5,13.4,4,41
