sweep_label,param_value,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,avg_min_hold,tim_pct,phase1_exits,phase2_exits
cap_min_hold,240,full,13.73,0.71,19.4,41.84,75,982.7,221.6,99.6,22,50
cap_min_hold,240,last_90d,3.17,0.06,57.2,18.02,5,982.7,221.6,100.0,22,50
cap_min_hold,480,full,13.94,0.83,16.8,43.32,56,1319.7,407.5,100.0,11,42
cap_min_hold,480,last_90d,3.4,0.05,64.6,23.82,3,1319.7,407.5,100.0,11,42
cap_min_hold,720,full,15.34,0.67,23.1,42.32,50,1490.3,520.5,100.0,7,40
cap_min_hold,720,last_90d,3.44,0.05,65.9,25.83,2,1490.3,520.5,100.0,7,40
cap_min_hold,1080,full,15.84,0.89,17.9,44.44,46,1670.4,616.7,100.0,7,36
cap_min_hold,1080,last_90d,2.8,0.06,49.6,18.72,3,1670.4,616.7,100.0,7,36
cap_min_hold,1440,full,15.84,0.89,17.9,44.44,46,1670.4,616.7,100.0,7,36
cap_min_hold,1440,last_90d,2.8,0.06,49.6,18.72,3,1670.4,616.7,100.0,7,36
cap_min_hold,2160,full,15.84,0.89,17.9,44.44,46,1670.4,616.7,100.0,7,36
cap_min_hold,2160,last_90d,2.8,0.06,49.6,18.72,3,1670.4,616.7,100.0,7,36
cap_min_hold,4320,full,15.84,0.89,17.9,44.44,46,1670.4,616.7,100.0,7,36
cap_min_hold,4320,last_90d,2.8,0.06,49.6,18.72,3,1670.4,616.7,100.0,7,36
fee_multiplier,0.5,full,13.17,0.64,20.7,49.03,59,1264.1,345.0,100.0,11,45
fee_multiplier,0.5,last_90d,3.54,0.03,134.0,39.67,5,1264.1,345.0,100.0,11,45
fee_multiplier,0.75,full,13.04,0.75,17.3,46.74,53,1441.6,503.3,100.0,9,41
fee_multiplier,0.75,last_90d,3.2,0.04,77.2,25.41,4,1441.6,503.3,100.0,9,41
fee_multiplier,1.0,full,15.34,0.67,23.1,42.32,50,1490.3,520.5,100.0,7,40
fee_multiplier,1.0,last_90d,3.44,0.05,65.9,25.83,2,1490.3,520.5,100.0,7,40
fee_multiplier,1.25,full,15.52,0.7,22.2,39.68,50,1507.1,555.4,100.0,9,38
fee_multiplier,1.25,last_90d,3.19,0.07,48.3,17.92,3,1507.1,555.4,100.0,9,38
fee_multiplier,1.5,full,15.5,0.73,21.1,37.71,48,1576.0,573.9,100.0,10,35
fee_multiplier,1.5,last_90d,2.65,0.08,33.3,12.41,3,1576.0,573.9,100.0,10,35
fee_multiplier,2.0,full,15.21,0.83,18.3,32.82,47,1610.4,602.0,100.0,11,33
fee_multiplier,2.0,last_90d,2.35,0.11,22.1,8.28,3,1610.4,602.0,100.0,11,33
fee_multiplier,3.0,full,14.27,0.94,15.1,24.09,47,1605.1,641.6,99.4,16,28
fee_multiplier,3.0,last_90d,2.09,0.16,13.0,4.74,3,1605.1,641.6,100.0,16,28
safety_mult,2.0,full,15.18,0.72,21.0,40.98,65,1146.9,272.8,100.0,17,45
safety_mult,2.0,last_90d,3.0,0.06,54.1,15.62,6,1146.9,272.8,100.0,17,45
safety_mult,3.0,full,14.03,0.85,16.6,42.28,57,1299.9,389.3,100.0,9,45
safety_mult,3.0,last_90d,3.4,0.05,64.8,23.86,3,1299.9,389.3,100.0,9,45
safety_mult,5.0,full,15.34,0.67,23.1,42.32,50,1490.3,520.5,100.0,7,40
safety_mult,5.0,last_90d,3.44,0.05,65.9,25.83,2,1490.3,520.5,100.0,7,40
safety_mult,7.0,full,15.5,0.67,23.3,42.14,51,1462.2,561.2,100.0,8,40
safety_mult,7.0,last_90d,3.44,0.05,65.9,25.83,2,1462.2,561.2,100.0,8,40
