label,entry_threshold,phase1_negative_patience,phase1_breakeven_cap_h,phase2_exit_threshold,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,tim_pct,phase1_exits,phase2_exits
baseline_COMBO,0.3,n/a,n/a,n/a,full,9.93,0.1,100.9,34.95,60,120.0,70.9,n/a,n/a
baseline_COMBO,0.3,n/a,n/a,n/a,last_90d,0.0,0.0,0.0,0.0,0,120.0,0.0,n/a,n/a
baseline_DynAgg,0.08,n/a,n/a,n/a,full,11.19,0.76,14.8,35.89,84,536.4,100.0,n/a,n/a
baseline_DynAgg,0.08,n/a,n/a,n/a,last_90d,2.79,0.05,51.2,14.33,6,536.4,100.0,n/a,n/a
baseline_breakeven,0.15,n/a,720,n/a,full,11.94,0.11,106.6,37.35,104,492.4,77.2,n/a,n/a
baseline_breakeven,0.15,n/a,720,n/a,last_90d,-0.07,0.05,-1.3,-0.56,3,492.4,13.4,n/a,n/a
two_phase,0.08,12,480,0.0,full,11.33,1.08,10.5,27.73,278,259.7,98.6,187,88
two_phase,0.08,12,480,0.0,last_90d,-1.52,0.73,-2.1,-3.86,40,259.7,99.2,187,88
two_phase,0.08,12,480,-0.05,full,12.31,0.99,12.4,31.2,221,319.0,98.7,150,68
two_phase,0.08,12,480,-0.05,last_90d,0.05,0.46,0.1,0.15,29,319.0,100.0,150,68
two_phase,0.08,12,480,-0.1,full,12.82,1.0,12.8,33.96,193,367.6,98.7,138,52
two_phase,0.08,12,480,-0.1,last_90d,-0.12,0.51,-0.2,-0.33,30,367.6,100.0,138,52
two_phase,0.08,24,480,0.0,full,11.28,1.1,10.2,27.73,275,263.0,98.6,182,90
two_phase,0.08,24,480,0.0,last_90d,-1.39,0.7,-2.0,-3.58,39,263.0,99.3,182,90
two_phase,0.08,24,480,-0.05,full,12.28,1.01,12.1,31.1,220,321.2,98.7,149,68
two_phase,0.08,24,480,-0.05,last_90d,0.19,0.43,0.4,0.56,28,321.2,100.0,149,68
two_phase,0.08,24,480,-0.1,full,12.93,1.02,12.7,34.81,181,393.3,98.8,128,50
two_phase,0.08,24,480,-0.1,last_90d,0.02,0.47,0.0,0.05,29,393.3,100.0,128,50
two_phase,0.08,72,480,0.0,full,11.23,1.18,9.5,27.61,272,267.8,99.0,179,90
two_phase,0.08,72,480,0.0,last_90d,-1.41,0.7,-2.0,-3.63,39,267.8,100.0,179,90
two_phase,0.08,72,480,-0.05,full,12.19,1.09,11.2,30.88,218,326.5,99.0,147,68
two_phase,0.08,72,480,-0.05,last_90d,0.18,0.44,0.4,0.54,28,326.5,100.0,147,68
two_phase,0.08,72,480,-0.1,full,12.84,1.1,11.7,34.55,179,400.4,99.0,126,50
two_phase,0.08,72,480,-0.1,last_90d,0.01,0.48,0.0,0.04,29,400.4,100.0,126,50
two_phase,0.15,12,480,0.0,full,11.94,0.13,92.2,37.46,103,495.8,76.4,37,63
two_phase,0.15,12,480,0.0,last_90d,-0.07,0.05,-1.3,-0.56,3,495.8,13.4,37,63
two_phase,0.15,12,480,-0.05,full,12.2,0.11,109.3,39.24,87,607.3,79.5,33,51
two_phase,0.15,12,480,-0.05,last_90d,-0.07,0.05,-1.3,-0.56,3,607.3,13.4,33,51
two_phase,0.15,12,480,-0.1,full,13.01,0.11,114.0,41.14,74,769.0,81.1,30,41
two_phase,0.15,12,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,769.0,13.4,30,41
two_phase,0.15,24,480,0.0,full,11.93,0.13,92.2,37.43,102,502.1,76.4,35,64
two_phase,0.15,24,480,0.0,last_90d,-0.07,0.05,-1.3,-0.56,3,502.1,13.4,35,64
two_phase,0.15,24,480,-0.05,full,12.2,0.11,109.5,39.34,85,623.7,79.6,31,51
two_phase,0.15,24,480,-0.05,last_90d,-0.07,0.05,-1.3,-0.56,3,623.7,13.4,31,51
two_phase,0.15,24,480,-0.1,full,13.03,0.11,114.4,41.3,72,795.5,81.2,27,42
two_phase,0.15,24,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,795.5,13.4,27,42
two_phase,0.15,72,480,0.0,full,11.86,0.14,82.5,37.25,102,504.2,76.7,35,64
two_phase,0.15,72,480,0.0,last_90d,-0.07,0.05,-1.3,-0.56,3,504.2,13.4,35,64
two_phase,0.15,72,480,-0.05,full,12.13,0.14,84.1,39.14,85,626.9,79.7,31,51
two_phase,0.15,72,480,-0.05,last_90d,-0.07,0.05,-1.3,-0.56,3,626.9,13.4,31,51
two_phase,0.15,72,480,-0.1,full,12.96,0.15,88.7,41.12,72,798.6,81.4,27,42
two_phase,0.15,72,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,798.6,13.4,27,42
two_phase,0.08,24,240,-0.05,full,11.41,1.58,7.2,27.67,269,261.4,98.6,199,67
two_phase,0.08,24,240,-0.05,last_90d,-0.81,0.71,-1.1,-2.14,37,261.4,100.0,199,67
two_phase,0.08,24,720,-0.05,full,12.58,0.92,13.6,31.73,211,335.8,98.8,140,68
two_phase,0.08,24,720,-0.05,last_90d,0.34,0.4,0.8,1.01,27,335.8,100.0,140,68
