label,period,annual,max_dd,calmar,sharpe,trades,tim_pct,avg_hold_h,avg_min_hold,p1_exits,p2_exits,negstop_exits,bleed_h
baseline_prod,full,10.41,0.47,22.2,41.69,57,100.0,1370.4,651.8,12,42,0,2838
baseline_prod,last_180d,4.92,0.1,47.3,18.97,12,100.0,1370.4,651.8,12,42,0,2838
baseline_prod,last_90d,5.52,0.08,69.0,18.53,7,100.0,1370.4,651.8,12,42,0,2838
A_bypass_thr-0.05_pat6,full,10.12,0.51,19.7,36.67,125,98.1,562.3,685.5,0,38,84,115
A_bypass_thr-0.05_pat6,last_180d,4.3,0.11,40.4,16.22,18,100.0,562.3,685.5,0,38,84,115
A_bypass_thr-0.05_pat6,last_90d,4.1,0.11,38.6,13.45,11,100.0,562.3,685.5,0,38,84,115
A_bypass_thr-0.05_pat12,full,10.35,0.47,22.0,37.78,111,98.4,645.9,675.9,0,40,68,377
A_bypass_thr-0.05_pat12,last_180d,4.48,0.11,42.5,15.5,19,100.0,645.9,675.9,0,40,68,377
A_bypass_thr-0.05_pat12,last_90d,5.31,0.11,49.9,14.71,13,100.0,645.9,675.9,0,40,68,377
A_bypass_thr-0.05_pat24,full,10.61,0.34,31.3,40.89,82,98.7,892.7,662.8,0,40,39,745
A_bypass_thr-0.05_pat24,last_180d,4.41,0.13,34.1,16.75,15,100.0,892.7,662.8,0,40,39,745
A_bypass_thr-0.05_pat24,last_90d,5.39,0.08,64.2,16.82,9,100.0,892.7,662.8,0,40,39,745
A_bypass_thr-0.1_pat6,full,10.48,0.38,27.7,38.61,106,98.5,679.0,677.4,0,40,63,144
A_bypass_thr-0.1_pat6,last_180d,4.8,0.11,44.6,16.5,20,100.0,679.0,677.4,0,40,63,144
A_bypass_thr-0.1_pat6,last_90d,5.13,0.1,49.0,14.72,13,100.0,679.0,677.4,0,40,63,144
A_bypass_thr-0.1_pat12,full,10.51,0.36,28.9,39.39,95,98.5,765.5,668.5,0,41,51,396
A_bypass_thr-0.1_pat12,last_180d,4.47,0.11,42.4,15.47,19,100.0,765.5,668.5,0,41,51,396
A_bypass_thr-0.1_pat12,last_90d,5.31,0.11,49.9,14.71,13,100.0,765.5,668.5,0,41,51,396
A_bypass_thr-0.1_pat24,full,10.61,0.33,31.7,40.88,82,98.7,905.0,671.3,0,41,38,784
A_bypass_thr-0.1_pat24,last_180d,4.31,0.13,33.4,16.37,16,100.0,905.0,671.3,0,41,38,784
A_bypass_thr-0.1_pat24,last_90d,5.18,0.08,61.7,16.15,10,100.0,905.0,671.3,0,41,38,784
A_bypass_thr-0.2_pat6,full,10.59,0.23,46.3,40.58,83,98.9,892.2,654.9,1,42,37,626
A_bypass_thr-0.2_pat6,last_180d,4.61,0.1,44.7,16.32,19,100.0,892.2,654.9,1,42,37,626
A_bypass_thr-0.2_pat6,last_90d,5.42,0.1,52.1,15.26,13,100.0,892.2,654.9,1,42,37,626
A_bypass_thr-0.2_pat12,full,10.51,0.21,49.8,39.51,87,98.9,851.1,660.9,1,44,39,806
A_bypass_thr-0.2_pat12,last_180d,4.34,0.11,39.6,14.24,22,100.0,851.1,660.9,1,44,39,806
A_bypass_thr-0.2_pat12,last_90d,5.67,0.11,51.4,15.72,13,100.0,851.1,660.9,1,44,39,806
A_bypass_thr-0.2_pat24,full,10.47,0.25,42.0,41.23,72,99.2,1047.6,663.8,1,42,26,1193
A_bypass_thr-0.2_pat24,last_180d,3.92,0.13,29.8,15.71,14,100.0,1047.6,663.8,1,42,26,1193
A_bypass_thr-0.2_pat24,last_90d,4.63,0.08,55.2,15.15,9,100.0,1047.6,663.8,1,42,26,1193
ctrl_nobypass_thr-0.1_pat12,full,10.41,0.46,22.4,41.73,57,100.0,1368.2,651.8,8,42,4,2811
ctrl_nobypass_thr-0.1_pat12,last_180d,4.93,0.1,47.4,19.06,12,100.0,1368.2,651.8,8,42,4,2811
ctrl_nobypass_thr-0.1_pat12,last_90d,5.54,0.08,69.3,18.67,7,100.0,1368.2,651.8,8,42,4,2811
ctrl_nobypass_thr-0.1_pat24,full,10.41,0.46,22.4,41.7,57,100.0,1369.0,651.8,8,42,4,2831
ctrl_nobypass_thr-0.1_pat24,last_180d,4.92,0.1,47.3,18.97,12,100.0,1369.0,651.8,8,42,4,2831
ctrl_nobypass_thr-0.1_pat24,last_90d,5.52,0.08,69.0,18.52,7,100.0,1369.0,651.8,8,42,4,2831
