universe,n_coins,strategy,ann_full,cal_full,dd_full,shr_full,tim_full,trades_full,wait_full,ann_90d,cal_90d,dd_90d,shr_90d,tim_90d,trades_90d,wait_90d
U7_current,7,dynamic_balanced,10.34,77.1,0.13,36.09,83.4,83,280,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U7_current,7,dynamic_aggressive,11.19,14.8,0.76,35.89,100.0,84,0,2.79,51.2,0.05,14.33,100.0,6,0
U7_current,7,baseline_30_120,9.93,100.9,0.1,34.95,70.9,60,237,0.0,0.0,0.0,0.0,0.0,0,2160
U7_current,7,baseline_15_120,9.79,83.5,0.12,33.72,79.6,69,178,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U8_uni,8,dynamic_balanced,10.76,80.2,0.13,38.59,84.5,81,266,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U8_uni,8,dynamic_aggressive,11.22,14.8,0.76,36.6,100.0,86,0,1.73,30.2,0.06,8.98,100.0,6,0
U8_uni,8,baseline_30_120,10.04,102.0,0.1,37.15,68.6,60,322,0.0,0.0,0.0,0.0,0.0,0,2160
U8_uni,8,baseline_15_120,9.99,85.3,0.12,35.84,80.6,66,178,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U11_no_meme,11,dynamic_balanced,10.98,53.6,0.2,37.54,84.8,88,223,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U11_no_meme,11,dynamic_aggressive,11.68,14.6,0.8,35.86,100.0,91,0,3.05,46.8,0.07,15.94,100.0,6,0
U11_no_meme,11,baseline_30_120,9.76,88.2,0.11,35.49,69.4,59,229,0.0,0.0,0.0,0.0,0.0,0,2160
U11_no_meme,11,baseline_15_120,10.51,85.9,0.12,35.37,82.5,61,185,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U13_full,13,dynamic_balanced,11.37,55.5,0.2,36.47,85.6,99,133,-0.07,-1.3,0.05,-0.56,13.4,3,1870
U13_full,13,dynamic_aggressive,11.88,14.9,0.8,35.32,100.0,94,0,2.0,23.2,0.09,8.55,100.0,8,0
U13_full,13,baseline_30_120,10.57,95.5,0.11,35.92,69.8,57,229,0.0,0.0,0.0,0.0,0.0,0,2160
U13_full,13,baseline_15_120,11.75,96.1,0.12,35.6,83.6,64,129,-0.07,-1.3,0.05,-0.56,13.4,3,1870
