venue,coin,window,annualized_pct,neg_hours_pct,n_points,interval_h,fetched_at
HL,BTC,90d,2.62,31.8,2174,1.0,2026-06-19T16:00:00Z
HL,BTC,365d,7.27,17.6,8773,1.0,2026-06-19T16:00:00Z
HL,ETH,90d,3.91,26.7,2174,1.0,2026-06-19T16:00:00Z
HL,ETH,365d,7.51,17.0,8773,1.0,2026-06-19T16:00:00Z
HL,SOL,90d,-1.63,48.1,2174,1.0,2026-06-19T16:00:00Z
HL,SOL,365d,1.76,34.7,8773,1.0,2026-06-19T16:00:00Z
HL,HYPE,90d,8.88,12.9,2174,1.0,2026-06-19T16:00:00Z
HL,HYPE,365d,12.09,8.4,8773,1.0,2026-06-19T16:00:00Z
HL,AVAX,90d,5.76,18.6,2174,1.0,2026-06-19T16:00:00Z
HL,AVAX,365d,6.06,23.8,8773,1.0,2026-06-19T16:00:00Z
HL,LINK,90d,9.6,5.1,2174,1.0,2026-06-19T16:00:00Z
HL,LINK,365d,11.57,4.1,8773,1.0,2026-06-19T16:00:00Z
HL,DOGE,90d,6.27,19.0,2174,1.0,2026-06-19T16:00:00Z
HL,DOGE,365d,7.01,22.9,8773,1.0,2026-06-19T16:00:00Z
HL,ZEC,90d,1.69,21.2,2174,1.0,2026-06-19T16:00:00Z
HL,ZEC,365d,0.53,23.4,6239,1.0,2026-06-19T16:00:00Z
HL,XPL,90d,8.6,9.4,2174,1.0,2026-06-19T16:00:00Z
HL,XPL,365d,13.68,8.4,7227,1.0,2026-06-19T16:00:00Z
Aster,BTC,90d,0.23,39.9,2169,8.0,2026-06-19T16:00:00Z
Aster,BTC,365d,5.19,19.4,8768,8.0,2026-06-19T16:00:00Z
Aster,ETH,90d,2.32,29.4,2169,8.0,2026-06-19T16:00:00Z
Aster,ETH,365d,5.82,15.7,8768,8.0,2026-06-19T16:00:00Z
Aster,SOL,90d,-1.26,48.7,2169,8.0,2026-06-19T16:00:00Z
Aster,SOL,365d,0.83,35.4,8768,8.0,2026-06-19T16:00:00Z
Aster,HYPE,90d,-0.01,30.0,2173,4.0,2026-06-19T16:00:00Z
Aster,HYPE,365d,5.24,28.2,6476,4.0,2026-06-19T16:00:00Z
Aster,AVAX,90d,10.63,1.1,2169,8.0,2026-06-19T16:00:00Z
Aster,AVAX,365d,9.87,6.6,8768,8.0,2026-06-19T16:00:00Z
Aster,LINK,90d,10.71,0.7,2169,8.0,2026-06-19T16:00:00Z
Aster,LINK,365d,10.2,4.6,8768,8.0,2026-06-19T16:00:00Z
Aster,DOGE,90d,5.77,19.0,2169,8.0,2026-06-19T16:00:00Z
Aster,DOGE,365d,5.38,21.8,8768,8.0,2026-06-19T16:00:00Z
Aster,ZEC,90d,-15.71,48.3,2174,1.0,2026-06-19T16:00:00Z
Aster,ZEC,365d,-4.3,38.0,6239,1.0,2026-06-19T16:00:00Z
Aster,XPL,90d,10.33,0.8,2173,4.0,2026-06-19T16:00:00Z
Aster,XPL,365d,16.51,7.0,7132,4.0,2026-06-19T16:00:00Z
dYdX,BTC,90d,-10.75,64.7,2160,1.0,2026-06-19T16:00:00Z
dYdX,BTC,365d,1.41,37.9,8759,1.0,2026-06-19T16:00:00Z
dYdX,ETH,90d,-6.12,58.7,2160,1.0,2026-06-19T16:00:00Z
dYdX,ETH,365d,3.78,36.0,8759,1.0,2026-06-19T16:00:00Z
dYdX,SOL,90d,-4.34,62.7,2160,1.0,2026-06-19T16:00:00Z
dYdX,SOL,365d,-2.1,49.8,8759,1.0,2026-06-19T16:00:00Z
dYdX,HYPE,90d,-0.94,23.3,2160,1.0,2026-06-19T16:00:00Z
dYdX,HYPE,365d,24.87,9.9,8759,1.0,2026-06-19T16:00:00Z
dYdX,AVAX,90d,1.02,1.8,2160,1.0,2026-06-19T16:00:00Z
dYdX,AVAX,365d,1.1,5.4,8759,1.0,2026-06-19T16:00:00Z
dYdX,LINK,90d,3.95,0.0,2160,1.0,2026-06-19T16:00:00Z
dYdX,LINK,365d,2.75,0.2,8759,1.0,2026-06-19T16:00:00Z
dYdX,DOGE,90d,1.65,0.6,2160,1.0,2026-06-19T16:00:00Z
dYdX,DOGE,365d,2.68,8.4,8759,1.0,2026-06-19T16:00:00Z
dYdX,ZEC,90d,15.59,20.9,2160,1.0,2026-06-19T16:00:00Z
dYdX,ZEC,365d,12.02,11.4,8759,1.0,2026-06-19T16:00:00Z
dYdX,XPL,90d,1.68,11.6,2160,1.0,2026-06-19T16:00:00Z
dYdX,XPL,365d,6.88,14.9,6390,1.0,2026-06-19T16:00:00Z
Lighter,BTC,90d,0.67,41.8,2160,1.0,2026-06-19T16:00:00Z
Lighter,BTC,365d,5.45,19.1,8760,1.0,2026-06-19T16:00:00Z
Lighter,ETH,90d,1.7,27.8,2160,1.0,2026-06-19T16:00:00Z
Lighter,ETH,365d,5.85,19.4,8760,1.0,2026-06-19T16:00:00Z
Lighter,SOL,90d,-0.26,50.4,2160,1.0,2026-06-19T16:00:00Z
Lighter,SOL,365d,-0.49,40.8,8760,1.0,2026-06-19T16:00:00Z
Lighter,HYPE,90d,5.72,11.4,2160,1.0,2026-06-19T16:00:00Z
Lighter,HYPE,365d,12.44,12.2,8760,1.0,2026-06-19T16:00:00Z
Lighter,AVAX,90d,4.69,14.0,2160,1.0,2026-06-19T16:00:00Z
Lighter,AVAX,365d,1.83,25.1,8760,1.0,2026-06-19T16:00:00Z
Lighter,LINK,90d,6.54,7.1,2160,1.0,2026-06-19T16:00:00Z
Lighter,LINK,365d,7.42,9.4,8760,1.0,2026-06-19T16:00:00Z
Lighter,DOGE,90d,7.63,3.7,2160,1.0,2026-06-19T16:00:00Z
Lighter,DOGE,365d,7.42,12.5,8760,1.0,2026-06-19T16:00:00Z
Lighter,ZEC,90d,-1.12,13.9,2160,1.0,2026-06-19T16:00:00Z
Lighter,ZEC,365d,-0.36,17.1,6205,1.0,2026-06-19T16:00:00Z
Lighter,XPL,90d,5.45,10.2,2160,1.0,2026-06-19T16:00:00Z
Lighter,XPL,365d,32.2,9.1,7111,1.0,2026-06-19T16:00:00Z
Paradex,BTC,90d_sampled,5.03,20.7,540,8.0,2026-06-19T16:00:00Z
Paradex,BTC,snapshot,7.61,,1,8.0,2026-06-19T16:00:00Z
Paradex,ETH,snapshot,10.61,,1,8.0,2026-06-19T16:00:00Z
Paradex,SOL,snapshot,3.74,,1,8.0,2026-06-19T16:00:00Z
Paradex,HYPE,snapshot,9.57,,1,8.0,2026-06-19T16:00:00Z
Paradex,AVAX,snapshot,2.48,,1,8.0,2026-06-19T16:00:00Z
Paradex,LINK,snapshot,9.82,,1,8.0,2026-06-19T16:00:00Z
Paradex,DOGE,snapshot,7.25,,1,8.0,2026-06-19T16:00:00Z
