venue,coin,listed,volume_24h_usd,top_of_book_spread_bps,depth_1pct_usd,max_leverage,taker_fee_bps,fetched_at
hyperliquid,AAVE,1,6290904.89,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,ADA,1,7449969.36,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,APT,1,1888419.23,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,ARB,1,2204919.66,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,ATOM,1,1097559.96,,0.0,5,4.5,2026-06-19T12:59:15Z
hyperliquid,AVAX,1,10154189.88,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,BCH,1,2707194.68,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,BNB,1,8146357.47,,0.0,10,4.5,2026-06-19T12:59:15Z
hyperliquid,BTC,1,2682343575.11,0.159,11291822.5,40,4.5,2026-06-19T12:59:16Z
hyperliquid,CRV,1,4772929.05,1.394,107888.46,10,4.5,2026-06-19T12:59:16Z
hyperliquid,DOGE,1,3688375.97,,0.0,10,4.5,2026-06-19T12:59:16Z
hyperliquid,DOT,1,752996.75,,0.0,10,4.5,2026-06-19T12:59:16Z
hyperliquid,EIGEN,1,4776621.2,13.636,137131.12,5,4.5,2026-06-19T12:59:17Z
hyperliquid,ENA,1,12779171.6,,0.0,10,4.5,2026-06-19T12:59:17Z
hyperliquid,ETH,1,1210258922.81,0.591,34647254.68,25,4.5,2026-06-19T12:59:17Z
hyperliquid,INJ,1,1678956.18,5.927,112359.61,5,4.5,2026-06-19T12:59:18Z
hyperliquid,JTO,1,7593838.73,9.304,107359.83,5,4.5,2026-06-19T12:59:18Z
hyperliquid,JUP,1,1917979.37,9.719,61468.08,10,4.5,2026-06-19T12:59:19Z
hyperliquid,LINK,1,2555600.6,,0.0,10,4.5,2026-06-19T12:59:19Z
hyperliquid,LTC,1,2674250.36,,0.0,10,4.5,2026-06-19T12:59:19Z
hyperliquid,NEAR,1,43394573.09,,0.0,10,4.5,2026-06-19T12:59:19Z
hyperliquid,PENDLE,1,1978464.19,0.738,90113.58,5,4.5,2026-06-19T12:59:19Z
hyperliquid,PYTH,1,701876.3,6.514,58201.11,5,4.5,2026-06-19T12:59:19Z
hyperliquid,SOL,1,201412466.21,0.146,2345163.8,20,4.5,2026-06-19T12:59:20Z
hyperliquid,SUI,1,15482944.04,,0.0,10,4.5,2026-06-19T12:59:20Z
hyperliquid,TAO,1,11291400.16,2.638,194841.83,5,4.5,2026-06-19T12:59:21Z
hyperliquid,TRX,1,2224460.51,,0.0,10,4.5,2026-06-19T12:59:21Z
hyperliquid,UNI,1,21367159.41,,0.0,10,4.5,2026-06-19T12:59:21Z
hyperliquid,WLD,1,40100346.45,0.162,208768.25,10,4.5,2026-06-19T12:59:21Z
hyperliquid,XLM,1,12073100.55,,0.0,5,4.5,2026-06-19T12:59:21Z
hyperliquid,XRP,1,52068428.65,,0.0,20,4.5,2026-06-19T12:59:21Z
hyperliquid,ZRO,1,2507094.01,3.478,58846.58,5,4.5,2026-06-19T12:59:22Z
aster,AAVE,1,327179.55,,0.0,0,3.5,2026-06-19T12:59:24Z
aster,ADA,1,427878.4,,0.0,0,3.5,2026-06-19T12:59:24Z
aster,APT,1,8735.42,,0.0,0,3.5,2026-06-19T12:59:24Z
