mode,z_threshold,lookback_days,safety_mult,cap_min_hold,period,annual,max_dd,calmar,sharpe,trades,time_in_market_pct,median_wait_hours
baseline_30_120,,,,,full,9.93,0.1,100.9,34.95,60,70.9,237
baseline_30_120,,,,,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160
dynamic_balanced,,,3.0,720.0,full,10.34,0.13,77.1,36.09,83,83.4,280
dynamic_balanced,,,3.0,720.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870
dynamic_aggressive,,,5.0,720.0,full,11.19,0.76,14.8,35.89,84,100.0,0
dynamic_aggressive,,,5.0,720.0,last_90d,2.79,0.05,51.2,14.33,6,100.0,0
zscore,0.5,14.0,3.0,480.0,full,10.6,0.16,65.4,39.09,76,86.0,324
zscore,0.5,14.0,3.0,480.0,last_90d,0.61,0.05,11.4,4.86,3,33.8,1430
zscore,0.5,14.0,3.0,720.0,full,9.93,0.76,13.1,33.59,99,97.9,269
zscore,0.5,14.0,3.0,720.0,last_90d,2.05,0.07,31.1,9.68,8,100.0,0
zscore,0.5,14.0,5.0,480.0,full,10.27,0.16,63.5,37.9,64,82.5,295
zscore,0.5,14.0,5.0,480.0,last_90d,-0.12,0.07,-1.9,-0.93,3,13.2,1875
zscore,0.5,14.0,5.0,720.0,full,9.82,0.25,39.5,38.54,62,87.1,592
zscore,0.5,14.0,5.0,720.0,last_90d,0.18,0.05,3.4,1.45,3,14.2,1854
zscore,0.5,30.0,3.0,480.0,full,9.83,0.18,53.8,35.31,77,81.5,189
zscore,0.5,30.0,3.0,480.0,last_90d,0.61,0.05,11.4,4.86,3,33.8,1430
zscore,0.5,30.0,3.0,720.0,full,9.83,1.16,8.5,32.71,93,93.9,182
zscore,0.5,30.0,3.0,720.0,last_90d,2.47,0.06,43.0,11.37,8,100.0,0
zscore,0.5,30.0,5.0,480.0,full,10.2,0.16,63.4,36.89,64,78.9,232
zscore,0.5,30.0,5.0,480.0,last_90d,-0.12,0.07,-1.9,-0.93,3,13.2,1875
zscore,0.5,30.0,5.0,720.0,full,9.66,0.33,28.9,36.69,66,84.1,193
zscore,0.5,30.0,5.0,720.0,last_90d,0.18,0.05,3.4,1.45,3,14.2,1854
zscore,0.5,60.0,3.0,480.0,full,9.5,0.16,58.3,36.37,72,77.2,206
zscore,0.5,60.0,3.0,480.0,last_90d,0.61,0.05,11.4,4.86,3,33.8,1430
zscore,0.5,60.0,3.0,720.0,full,8.25,1.1,7.5,32.73,88,90.0,151
